step,method,q,seed,ablation,approx_kl,mean_kl_window
1073152,TEL-PPO,40.0,42,baseline,,
1077248,TEL-PPO,40.0,42,baseline,,
1081344,TEL-PPO,40.0,42,baseline,,
1085440,TEL-PPO,40.0,42,baseline,,
1089536,TEL-PPO,40.0,42,baseline,,
1093632,TEL-PPO,40.0,42,baseline,,
1097728,TEL-PPO,40.0,42,baseline,,
1101824,TEL-PPO,40.0,42,baseline,,
1105920,TEL-PPO,40.0,42,baseline,,
1110016,TEL-PPO,40.0,42,baseline,,
1114112,TEL-PPO,40.0,42,baseline,,
1118208,TEL-PPO,40.0,42,baseline,,
1122304,TEL-PPO,40.0,42,baseline,,
1126400,TEL-PPO,40.0,42,baseline,,
1130496,TEL-PPO,40.0,42,baseline,,
1134592,TEL-PPO,40.0,42,baseline,,
1138688,TEL-PPO,40.0,42,baseline,,
1142784,TEL-PPO,40.0,42,baseline,,
1146880,TEL-PPO,40.0,42,baseline,,
1150976,TEL-PPO,40.0,42,baseline,,
1155072,TEL-PPO,40.0,42,baseline,,
1159168,TEL-PPO,40.0,42,baseline,,
1163264,TEL-PPO,40.0,42,baseline,,
1167360,TEL-PPO,40.0,42,baseline,,
1171456,TEL-PPO,40.0,42,baseline,,
1175552,TEL-PPO,40.0,42,baseline,,
1179648,TEL-PPO,40.0,42,baseline,,
1183744,TEL-PPO,40.0,42,baseline,,
1187840,TEL-PPO,40.0,42,baseline,,
1191936,TEL-PPO,40.0,42,baseline,,
1196032,TEL-PPO,40.0,42,baseline,,
1200128,TEL-PPO,40.0,42,baseline,,
1204224,TEL-PPO,40.0,42,baseline,,
1208320,TEL-PPO,40.0,42,baseline,,
1212416,TEL-PPO,40.0,42,baseline,,
1216512,TEL-PPO,40.0,42,baseline,,
1220608,TEL-PPO,40.0,42,baseline,,
1224704,TEL-PPO,40.0,42,baseline,,
1228800,TEL-PPO,40.0,42,baseline,,
1232896,TEL-PPO,40.0,42,baseline,,
1236992,TEL-PPO,40.0,42,baseline,,
1241088,TEL-PPO,40.0,42,baseline,,
1245184,TEL-PPO,40.0,42,baseline,,
1249280,TEL-PPO,40.0,42,baseline,,
1253376,TEL-PPO,40.0,42,baseline,,
1257472,TEL-PPO,40.0,42,baseline,,
1261568,TEL-PPO,40.0,42,baseline,,
1265664,TEL-PPO,40.0,42,baseline,,
1269760,TEL-PPO,40.0,42,baseline,,
1273856,TEL-PPO,40.0,42,baseline,,
1277952,TEL-PPO,40.0,42,baseline,,
1282048,TEL-PPO,40.0,42,baseline,,
1286144,TEL-PPO,40.0,42,baseline,,
1290240,TEL-PPO,40.0,42,baseline,,
1294336,TEL-PPO,40.0,42,baseline,,
1298432,TEL-PPO,40.0,42,baseline,,
1302528,TEL-PPO,40.0,42,baseline,,
1306624,TEL-PPO,40.0,42,baseline,,
0,TEL-PPO,55.0,42,baseline,,
4096,TEL-PPO,55.0,42,baseline,,
8192,TEL-PPO,55.0,42,baseline,,
12288,TEL-PPO,55.0,42,baseline,,
16384,TEL-PPO,55.0,42,baseline,,
20480,TEL-PPO,55.0,42,baseline,,
24576,TEL-PPO,55.0,42,baseline,,
28672,TEL-PPO,55.0,42,baseline,,
32768,TEL-PPO,55.0,42,baseline,,
36864,TEL-PPO,55.0,42,baseline,,
40960,TEL-PPO,55.0,42,baseline,,
45056,TEL-PPO,55.0,42,baseline,,
49152,TEL-PPO,55.0,42,baseline,,
53248,TEL-PPO,55.0,42,baseline,,
57344,TEL-PPO,55.0,42,baseline,,
61440,TEL-PPO,55.0,42,baseline,,
65536,TEL-PPO,55.0,42,baseline,,
69632,TEL-PPO,55.0,42,baseline,,
73728,TEL-PPO,55.0,42,baseline,,
77824,TEL-PPO,55.0,42,baseline,,
81920,TEL-PPO,55.0,42,baseline,,
86016,TEL-PPO,55.0,42,baseline,,
90112,TEL-PPO,55.0,42,baseline,,
94208,TEL-PPO,55.0,42,baseline,,
98304,TEL-PPO,55.0,42,baseline,,
102400,TEL-PPO,55.0,42,baseline,,
106496,TEL-PPO,55.0,42,baseline,,
110592,TEL-PPO,55.0,42,baseline,,
114688,TEL-PPO,55.0,42,baseline,,
118784,TEL-PPO,55.0,42,baseline,,
122880,TEL-PPO,55.0,42,baseline,,
126976,TEL-PPO,55.0,42,baseline,,
131072,TEL-PPO,55.0,42,baseline,,
135168,TEL-PPO,55.0,42,baseline,,
139264,TEL-PPO,55.0,42,baseline,,
143360,TEL-PPO,55.0,42,baseline,,
147456,TEL-PPO,55.0,42,baseline,,
151552,TEL-PPO,55.0,42,baseline,,
155648,TEL-PPO,55.0,42,baseline,,
159744,TEL-PPO,55.0,42,baseline,,
163840,TEL-PPO,55.0,42,baseline,,
167936,TEL-PPO,55.0,42,baseline,,
172032,TEL-PPO,55.0,42,baseline,,
176128,TEL-PPO,55.0,42,baseline,,
180224,TEL-PPO,55.0,42,baseline,,
184320,TEL-PPO,55.0,42,baseline,,
188416,TEL-PPO,55.0,42,baseline,,
192512,TEL-PPO,55.0,42,baseline,,
196608,TEL-PPO,55.0,42,baseline,,
200704,TEL-PPO,55.0,42,baseline,,
204800,TEL-PPO,55.0,42,baseline,,
208896,TEL-PPO,55.0,42,baseline,,
212992,TEL-PPO,55.0,42,baseline,,
217088,TEL-PPO,55.0,42,baseline,,
221184,TEL-PPO,55.0,42,baseline,,
225280,TEL-PPO,55.0,42,baseline,,
229376,TEL-PPO,55.0,42,baseline,,
233472,TEL-PPO,55.0,42,baseline,,
237568,TEL-PPO,55.0,42,baseline,,
241664,TEL-PPO,55.0,42,baseline,,
245760,TEL-PPO,55.0,42,baseline,,
249856,TEL-PPO,55.0,42,baseline,,
253952,TEL-PPO,55.0,42,baseline,,
258048,TEL-PPO,55.0,42,baseline,,
262144,TEL-PPO,55.0,42,baseline,,
266240,TEL-PPO,55.0,42,baseline,,
270336,TEL-PPO,55.0,42,baseline,,
274432,TEL-PPO,55.0,42,baseline,,
278528,TEL-PPO,55.0,42,baseline,,
282624,TEL-PPO,55.0,42,baseline,,
286720,TEL-PPO,55.0,42,baseline,,
290816,TEL-PPO,55.0,42,baseline,,
294912,TEL-PPO,55.0,42,baseline,,
299008,TEL-PPO,55.0,42,baseline,,
303104,TEL-PPO,55.0,42,baseline,,
307200,TEL-PPO,55.0,42,baseline,,
311296,TEL-PPO,55.0,42,baseline,,
315392,TEL-PPO,55.0,42,baseline,,
319488,TEL-PPO,55.0,42,baseline,,
323584,TEL-PPO,55.0,42,baseline,,
327680,TEL-PPO,55.0,42,baseline,,
