Episode,Effort,Raw_Reward,Normalized_Reward,Loss,Baseline,LR,Std_Dev
331,0.0,4.5379,1.13,5.945,0.0,0.000100,0.4235
332,72.7,3.2524,-0.0592,-0.3808,0.0,0.000100,0.4233
333,19.51,3.812,0.4584,2.1564,0.0,0.000100,0.4231
334,60.88,4.6428,1.2245,5.6592,0.0,0.000100,0.4229
335,99.65,2.5126,-0.7484,-4.1189,0.0,0.000100,0.4227
336,71.12,4.0889,0.7122,3.3149,0.0,0.000100,0.4224
337,0.0,3.4618,0.1299,0.5897,0.0,0.000100,0.4222
338,50.15,3.1725,-0.1389,-0.7466,0.0,0.000100,0.422
339,16.64,3.8884,0.5266,2.5118,0.0,0.000100,0.4218
340,30.58,2.9142,-0.3807,-1.9146,0.0,0.000100,0.4216
341,55.99,4.6886,1.2703,5.8333,0.0,0.000100,0.4214
342,43.01,3.1186,-0.1932,-1.0051,0.0,0.000100,0.4212
343,100.0,2.3602,-0.8988,-4.9446,0.0,0.000100,0.421
344,0.0,3.2922,-0.0285,-0.2638,0.0,0.000100,0.4208
345,83.43,1.6277,-1.5771,-7.9663,0.0,0.000100,0.4206
346,79.59,3.0233,-0.2743,-1.4545,0.0,0.000100,0.4203
347,85.45,2.9709,-0.3228,-1.7286,0.0,0.000100,0.4201
348,24.35,2.9335,-0.3572,-1.8325,0.0,0.000100,0.4199
349,85.61,1.8298,-1.3854,-7.0685,0.0,0.000100,0.4197
350,28.19,3.2797,-0.0289,-0.2407,0.0,0.000100,0.4195
351,67.0,4.3806,0.9998,4.6401,0.0,0.000100,0.4193
352,64.35,2.261,-0.9833,-4.7392,0.0,0.000100,0.4191
353,52.11,4.8805,1.4645,6.7202,0.0,0.000100,0.4189
354,26.27,3.135,-0.168,-0.9081,0.0,0.000100,0.4187
355,49.36,3.427,0.1053,0.3917,0.0,0.000100,0.4185
356,34.9,2.8043,-0.4779,-2.3518,0.0,0.000100,0.4182
357,34.98,3.4479,0.1262,0.4963,0.0,0.000100,0.418
358,12.85,3.1,-0.2006,-1.112,0.0,0.000100,0.4178
359,46.5,5.0519,1.6289,7.4836,0.0,0.000100,0.4176
360,100.0,2.4319,-0.8304,-4.5732,0.0,0.000100,0.4174
361,31.7,3.3704,0.0516,0.1461,0.0,0.000100,0.4172
362,26.44,3.3704,0.0514,0.1479,0.0,0.000100,0.417
363,33.15,3.46,0.1357,0.5432,0.0,0.000100,0.4168
364,29.95,2.9325,-0.3615,-1.8193,0.0,0.000100,0.4166
365,67.77,4.4052,1.027,4.7737,0.0,0.000100,0.4164
366,48.88,3.2627,-0.0522,-0.3406,0.0,0.000100,0.4162
367,100.0,2.1619,-1.0904,-5.975,0.0,0.000100,0.4159
368,94.8,1.8706,-1.3606,-7.2324,0.0,0.000100,0.4157
369,30.98,3.0396,-0.2559,-1.3125,0.0,0.000100,0.4155
370,51.05,3.8315,0.4922,2.1909,0.0,0.000100,0.4153
371,85.11,1.4108,-1.7895,-9.0693,0.0,0.000100,0.4151
372,92.84,2.7643,-0.5109,-2.751,0.0,0.000100,0.4149
373,44.57,4.2899,0.9283,4.2245,0.0,0.000100,0.4147
374,66.46,4.4589,1.0849,5.0353,0.0,0.000100,0.4145
375,23.33,5.1959,1.7714,8.4848,0.0,0.000100,0.4143
376,84.62,1.4558,-1.743,-8.8141,0.0,0.000100,0.4141
377,94.35,2.9037,-0.3819,-2.0944,0.0,0.000100,0.4139
378,100.0,2.4855,-0.7736,-4.2653,0.0,0.000100,0.4137
379,62.2,2.9434,-0.3422,-1.6963,0.0,0.000100,0.4135
380,67.01,2.0614,-1.1696,-5.624,0.0,0.000100,0.4133
381,50.24,4.9739,1.5662,7.1787,0.0,0.000100,0.413
382,11.13,3.6053,0.2793,1.3243,0.0,0.000100,0.4128
383,18.29,3.8662,0.524,2.4902,0.0,0.000100,0.4126
384,49.2,4.8528,1.4475,6.6263,0.0,0.000100,0.4124
